value,web3 address
10000000,0xd9fa14467562112d57A489E8C4054946e21145CD
1190000,0x09B4a86a160e37D06FA2fb5749326b5A6106Fe9d
2350000,0x7eD026e6A8eE34C8E610ab297B1b62a8c90B3c6B
2000000,0x845CBa636a7e61698a7c96eDEC5ce5322b4481cc
10000000,0x1905f3b384188f45bd33beaF01E80F95Baa3d43A
10000000,0xCAbA2231Bc28f0fCE76FEa1f97e4c9225899B4eE
10000000,0xFdfAC695aE7DBF7Ef8A4829cbC5369A957B91D37
4147806,0x3A5Fd71B07c77923e73Cb4b54600E5442D2d1Ba1
425074,0xd8210B56558C489134632401695b0e2D9e77F832
10000000,0x33b4C240C7a3aF3e5365Ebb2Cda44bad82e4878E
10000000,0x980C00A0B98b3D8c5D30C9AD6586F2d63694f7DA
10000000,0x9b03dBc21Ac213B04B2dcb3794Dd079328B80029
709085,0x7115B7C9dE77E0D00a8a1bC610a4FB058bAc21b6
10000000,0x44dBdE53106B714Bc59089534f7239b734697a08
9990000,0x4424616d4695995fd385fc810848B0Ae461319e9
10000000,0x76f794E349d1Ad52F1aC2504D543Ad2D544B7BB2
10000000,0xd36043fFFf6B64B494A03a3FbC080f5aa65e8db9
650000,0xD0b1aBd072Cb75b269054f08E2d1ceC41b1c4cF4
10000000,0x80113Ec34B1D80158149CC2867c787c1a99e559B
748442,0xB6801AD6775702b007776313e943d4a0b5683f36
900000,0xE9d06eC843F0a06F020f8E085926389B4F5b6A5F
619876,0x15d964351691D028E39a3963E38Da95C79DE1563
1546947,0x9D6cD9D45125BBd205dA5227EB18F3C3374CA07f
2500000,0xB7118743b3bdAD2eB84b6a1cC4b97B338d0eE408
1236112,0x81e39950d23410026bDCE9A797E6a01D7e8A1A43
10000000,0xaCDf3e3CEB23b24a5c81c2deF51854ffFE872238
10000000,0x066243aED9B604aE4904575E4150013d7D2E92f4
10000000,0xE6a9A18012D9c9DB443402C00f52f14a65bF2965
1803178,0x854eEb4c715e3d1Ebacf35Ec3190fF25f2725218
2450000,0x78fEe73872Cc1f227890FF6007836644fc00B685
10000000,0x4A2C8E6804C4d4cA2524b455dff598E80c9E3b48
10000000,0x49A52656696B97d5a2363db0D05C4B0DA1453F2A
10000000,0x11Fb2044406252b1A9c673aa054a3168d3a1C926
4626647,0x0e65B76cd65cf4DcD474A2402FDda492549A3978
8361900,0x0f919A4632F588dd3eCA52fb5a816E7e1737b660
2800000,0xF624C52Ff68E8a2bE33d1C4b1dC6127E725E2Ef8
1000686,0x73Ef86Ea7f3E372BA000ff4e24899b0D5963e821
1397386,0x721e22CeA94F4Bf0A2dB0ab611697AE2B810333d
10000000,0xd4cD373999c3A1cc7abA8aF80fa3cdBAb8E59337
366667,0x54Bc1A288cA49E6C9c1a0f771c7cE1122b866Bb8
2768174,0xACCB15ECF356e7EcB677BF8Ea9f6150b38cf1A7D
10000000,0xda3015Fcbe4aac36eC39d43d44aFA2cE94f66067
323401,0x64f19FA24a2Bae97F6Edfbd3732190EEC5E7EF98
